CLUSTER_NM,SITE_ID,HOST_ID,GRAPH_ID,SERVER_IP,PORT_NO,SUBMIT_DATE,TOTAL_SUBMIT_COUNT,TOTAL_SUBMIT_CHR_COUNT,INS_TS,INS_BY,UPD_TS,UPD_BY
SOUTH,2,33,11,10.92.208.129,2885,13-02-2022,1906904,1957066,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,33,12,10.92.208.129,2886,13-02-2022,13279349,13279349,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,34,11,10.92.208.130,2890,13-02-2022,1411222,1411222,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,34,12,10.92.208.130,2891,13-02-2022,8806975,8828600,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,35,11,10.92.208.131,2895,13-02-2022,1022837,1022837,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,35,12,10.92.208.131,2896,13-02-2022,425468,425468,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,36,11,10.92.208.132,2900,13-02-2022,6944,6944,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,36,12,10.92.208.132,2901,13-02-2022,7217017,7217017,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,11,11,10.92.208.104,2775,14-02-2022,6631090,6631090,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,11,12,10.92.208.104,2776,14-02-2022,16504181,16504181,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,12,11,10.92.208.105,2780,14-02-2022,483604,483604,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,12,12,10.92.208.105,2781,14-02-2022,68929,68929,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,13,11,10.92.208.106,2785,14-02-2022,214940,214940,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,13,12,10.92.208.106,2786,14-02-2022,8293320,8293320,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,14,11,10.92.208.107,2790,14-02-2022,367766,367766,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,14,12,10.92.208.107,2791,14-02-2022,1146241,1146241,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,15,11,10.92.208.108,2795,14-02-2022,5009850,5009850,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,15,12,10.92.208.108,2796,14-02-2022,6653071,6653071,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,16,11,10.92.208.109,2800,14-02-2022,8019162,8606697,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,16,12,10.92.208.109,2801,14-02-2022,5962658,5962658,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,17,11,10.92.208.110,2805,14-02-2022,3506077,3515831,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,17,12,10.92.208.110,2806,14-02-2022,8896730,8896730,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,18,11,10.92.208.113,2810,14-02-2022,8900154,9435773,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,18,12,10.92.208.113,2811,14-02-2022,15764083,16554283,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,19,11,10.92.208.114,2815,14-02-2022,6678746,7095502,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,19,12,10.92.208.114,2816,14-02-2022,3164850,3231488,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,20,11,10.92.208.115,2820,14-02-2022,9355322,10188685,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,20,12,10.92.208.115,2821,14-02-2022,16674319,17557549,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,31,11,10.92.208.127,2875,14-02-2022,189943,189943,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,31,12,10.92.208.127,2876,14-02-2022,1839,1839,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,32,11,10.92.208.128,2880,14-02-2022,55677,55677,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,32,12,10.92.208.128,2881,14-02-2022,1992,1992,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,33,11,10.92.208.129,2885,14-02-2022,1040380,1040380,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,33,12,10.92.208.129,2886,14-02-2022,10269908,10269908,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
