"CLUSTER_NM","SITE_ID","HOST_ID","GRAPH_ID","SERVER_IP","PORT_NO","SUBMIT_DATE","TOTAL_SUBMIT_COUNT","TOTAL_SUBMIT_CHR_COUNT","INS_TS","INS_BY","UPD_TS","UPD_BY"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,04-FEB-22,1061996,1061996,09-MAR-22 11.33.33.105765000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.33.105765000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,05-FEB-22,1062441,1062441,09-MAR-22 11.33.41.130885000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.41.130885000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,06-FEB-22,968823,968823,09-MAR-22 11.33.48.442610000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.48.442610000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,07-FEB-22,1088636,1088636,09-MAR-22 11.33.56.050745000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.56.050745000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,08-FEB-22,1104287,1104287,09-MAR-22 11.34.03.747607000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.03.747607000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,09-FEB-22,937426,937426,09-MAR-22 11.34.10.891818000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.10.891818000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,10-FEB-22,940195,940195,09-MAR-22 11.34.18.078719000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.18.078719000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,11-FEB-22,1057895,1057895,09-MAR-22 11.34.26.859161000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.26.859161000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,12-FEB-22,1284655,1284655,09-MAR-22 11.34.35.151169000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.35.151169000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,13-FEB-22,1023309,1023309,09-MAR-22 11.34.42.968654000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.42.968654000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,14-FEB-22,1096029,1096029,09-MAR-22 11.34.50.443397000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.50.443397000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,15-FEB-22,1097880,1097880,09-MAR-22 11.34.58.119362000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.58.119362000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,16-FEB-22,1089394,1089394,09-MAR-22 11.35.06.144462000 AM,"SKVN_DB_PRD",09-MAR-22 11.35.06.144462000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,17-FEB-22,971307,971307,09-MAR-22 11.35.20.903499000 AM,"SKVN_DB_PRD",09-MAR-22 11.35.20.903499000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,18-FEB-22,785715,785715,09-MAR-22 11.35.28.037947000 AM,"SKVN_DB_PRD",09-MAR-22 11.35.28.037947000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,19-FEB-22,977694,977694,09-MAR-22 11.35.35.341200000 AM,"SKVN_DB_PRD",09-MAR-22 11.35.35.341200000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,20-FEB-22,973559,973559,09-MAR-22 11.35.42.630998000 AM,"SKVN_DB_PRD",09-MAR-22 11.35.42.630998000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,21-FEB-22,1038993,1038993,09-MAR-22 11.35.50.591771000 AM,"SKVN_DB_PRD",09-MAR-22 11.35.50.591771000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,22-FEB-22,1021962,1021962,09-MAR-22 11.35.58.084530000 AM,"SKVN_DB_PRD",09-MAR-22 11.35.58.084530000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,23-FEB-22,1068181,1068181,09-MAR-22 11.36.05.867049000 AM,"SKVN_DB_PRD",09-MAR-22 11.36.05.867049000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,24-FEB-22,1079054,1079054,09-MAR-22 11.36.13.607718000 AM,"SKVN_DB_PRD",09-MAR-22 11.36.13.607718000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,25-FEB-22,1070016,1070016,09-MAR-22 11.36.21.201171000 AM,"SKVN_DB_PRD",09-MAR-22 11.36.21.201171000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,26-FEB-22,1005197,1005197,09-MAR-22 11.36.28.542235000 AM,"SKVN_DB_PRD",09-MAR-22 11.36.28.542235000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,27-FEB-22,734660,734660,09-MAR-22 11.36.35.059415000 AM,"SKVN_DB_PRD",09-MAR-22 11.36.35.059415000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","41","11","10.5.35.36",2905,28-FEB-22,24,24,09-MAR-22 11.36.42.605810000 AM,"SKVN_DB_PRD",09-MAR-22 11.36.42.605810000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","11","10.5.35.37",2910,28-FEB-22,24,24,09-MAR-22 11.36.42.605810000 AM,"SKVN_DB_PRD",09-MAR-22 11.36.42.605810000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,28-FEB-22,1084862,1084862,09-MAR-22 11.36.42.605810000 AM,"SKVN_DB_PRD",09-MAR-22 11.36.42.605810000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,01-MAR-22,1079820,1079820,09-MAR-22 11.36.50.166340000 AM,"SKVN_DB_PRD",09-MAR-22 11.36.50.166340000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,02-MAR-22,1024745,1024745,09-MAR-22 11.36.57.495235000 AM,"SKVN_DB_PRD",09-MAR-22 11.36.57.495235000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,03-MAR-22,1099399,1099399,09-MAR-22 11.37.05.180515000 AM,"SKVN_DB_PRD",09-MAR-22 11.37.05.180515000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,04-MAR-22,1059402,1059402,09-MAR-22 11.37.12.771702000 AM,"SKVN_DB_PRD",09-MAR-22 11.37.12.771702000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,05-MAR-22,848144,848144,09-MAR-22 11.37.19.913268000 AM,"SKVN_DB_PRD",09-MAR-22 11.37.19.913268000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,08-MAR-22,1022498,1022498,09-MAR-22 01.00.11.037991000 AM,"SKVN_DB_PRD",09-MAR-22 01.00.11.037991000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,15-JAN-22,929127,929127,09-MAR-22 11.30.17.919559000 AM,"SKVN_DB_PRD",09-MAR-22 11.30.17.919559000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,07-JAN-22,1069028,1069028,09-MAR-22 11.29.07.211950000 AM,"SKVN_DB_PRD",09-MAR-22 11.29.07.211950000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,08-JAN-22,1019405,1019405,09-MAR-22 11.29.16.138014000 AM,"SKVN_DB_PRD",09-MAR-22 11.29.16.138014000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,09-JAN-22,793399,793399,09-MAR-22 11.29.24.214900000 AM,"SKVN_DB_PRD",09-MAR-22 11.29.24.214900000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,10-JAN-22,1059584,1059584,09-MAR-22 11.29.32.089197000 AM,"SKVN_DB_PRD",09-MAR-22 11.29.32.089197000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,11-JAN-22,1093318,1093318,09-MAR-22 11.29.41.282538000 AM,"SKVN_DB_PRD",09-MAR-22 11.29.41.282538000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,12-JAN-22,1064346,1064346,09-MAR-22 11.29.50.448091000 AM,"SKVN_DB_PRD",09-MAR-22 11.29.50.448091000 AM,"SKVN_DB_PRD"
