CLUSTER_NM,SITE_ID,HOST_ID,GRAPH_ID,SERVER_IP,PORT_NO,SUBMIT_DATE,TOTAL_SUBMIT_COUNT,TOTAL_SUBMIT_CHR_COUNT,INS_TS,INS_BY,UPD_TS,UPD_BY
NORTH,1,33,12,10.222.196.208,2886,17-Feb-22,398178,398178,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,34,11,10.222.196.209,2890,17-Feb-22,2034654,2034654,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,34,12,10.222.196.209,2891,17-Feb-22,8724124,8724124,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,35,11,10.222.196.239,2895,17-Feb-22,1271979,1271979,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,35,12,10.222.196.239,2896,17-Feb-22,478750,478750,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,36,11,10.222.196.245,2900,17-Feb-22,564,564,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,36,12,10.222.196.245,2901,17-Feb-22,8355473,8355473,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,13,12,10.222.196.191,2786,18-Feb-22,160369,180320,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,14,11,10.222.196.192,2790,18-Feb-22,118351,118351,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,14,12,10.222.196.192,2791,18-Feb-22,2471891,2475655,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,15,11,10.222.197.161,2795,18-Feb-22,2901533,2901533,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,15,12,10.222.197.161,2796,18-Feb-22,2408530,2408530,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,16,11,10.222.197.162,2800,18-Feb-22,11819316,12031286,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,16,12,10.222.197.162,2801,18-Feb-22,1595003,1595003,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,17,11,10.222.197.163,2805,18-Feb-22,13847064,13941167,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
